,City,Latitude,Longitude,Max_Temp,Humidity,Cloudiness,Windspeed,Country
305,mar del plata,-38.0,-57.56,53.00600000000003,100.0,75.0,2.6,AR
306,saint-francois,46.42,3.91,64.99400000000007,68.0,100.0,0.5,FR
307,fortuna,40.6,-124.16,62.00600000000003,82.0,20.0,6.7,US
308,bursol,0.0,0.0,0.0,0.0,0.0,0.0,
309,isangel,-19.55,169.27,80.6,78.0,75.0,4.6,VU
310,mitu,1.2,-70.17,73.11200000000005,96.0,100.0,0.33,CO
311,port lincoln,-34.73,135.87,57.272000000000034,54.0,99.0,8.13,AU
312,burica,0.0,0.0,0.0,0.0,0.0,0.0,
313,oranjemund,-28.55,16.43,68.36000000000008,25.0,0.0,3.91,NA
314,siparia,10.13,-61.5,78.8,88.0,20.0,2.6,TT
315,akoupe,6.39,-3.9,69.18800000000005,98.0,59.0,1.44,CI
316,belaya gora,68.53,146.42,91.058,28.0,76.0,3.67,RU
317,chara,56.91,118.26,62.258,82.0,100.0,1.98,RU
318,karakose,0.0,0.0,0.0,0.0,0.0,0.0,
319,ankang,32.68,109.02,71.00600000000003,65.0,100.0,1.79,CN
320,cherskiy,68.75,161.3,73.20200000000008,55.0,0.0,4.62,RU
321,tabiauea,0.0,0.0,0.0,0.0,0.0,0.0,
322,plainview,40.78,-73.47,80.99600000000005,92.0,100.0,3.71,US
323,nouadhibou,20.93,-17.03,75.2,78.0,28.0,6.2,MR
324,birjand,32.87,59.22,75.2,23.0,0.0,2.1,IR
325,east london,-33.02,27.91,60.92600000000009,34.0,0.0,3.53,ZA
326,port macquarie,-31.43,152.92,59.0,100.0,90.0,2.6,AU
327,thayetmyo,19.32,95.18,81.842,81.0,8.0,2.35,MM
328,puerto del rosario,28.5,-13.86,71.6,83.0,8.0,6.2,ES
329,landeck,47.13,10.56,59.0,93.0,40.0,2.1,AT
330,turukhansk,65.82,87.98,55.67000000000006,71.0,100.0,3.42,RU
331,oussouye,12.48,-16.55,80.6,94.0,20.0,1.0,SN
332,allapalli,19.42,80.07,75.47000000000006,90.0,100.0,1.58,IN
333,ahipara,-35.17,173.17,57.95600000000003,74.0,52.0,4.6,NZ
334,biak,-0.91,122.88,81.10400000000006,70.0,70.0,3.65,ID
335,xichang,27.9,102.26,72.86000000000008,75.0,100.0,1.07,CN
336,les cayes,18.2,-73.75,79.61000000000008,80.0,57.0,1.61,HT
337,uyuni,-20.46,-66.83,38.3,50.0,61.0,5.07,BO
338,volokolamsk,56.03,35.97,46.49000000000002,95.0,99.0,2.33,RU
339,cabo san lucas,22.89,-109.91,87.99800000000002,69.0,5.0,8.2,MX
340,barentsburg,0.0,0.0,0.0,0.0,0.0,0.0,
341,kendari,-3.94,122.5,83.49800000000002,64.0,61.0,1.21,ID
342,pisco,-13.7,-76.22,62.99600000000005,82.0,0.0,3.1,PE
343,myre,69.1,15.95,50.0,93.0,100.0,5.1,NO
344,kahului,20.89,-156.47,89.6,43.0,40.0,10.3,US
345,san jose,37.34,-121.89,78.99800000000002,53.0,1.0,7.2,US
346,sindand,0.0,0.0,0.0,0.0,0.0,0.0,
347,raudeberg,61.99,5.14,50.0,76.0,6.0,3.1,NO
348,xining,36.62,101.77,62.24000000000002,77.0,100.0,0.45,CN
349,haimen,23.19,116.61,89.6,62.0,100.0,2.0,CN
350,chimbote,-9.09,-78.58,60.332000000000015,90.0,23.0,3.89,PE
351,vostok,46.49,135.88,68.81000000000009,77.0,91.0,1.1,RU
352,gunjur,13.2,-16.73,80.6,94.0,75.0,4.49,GM
353,falealupo,0.0,0.0,0.0,0.0,0.0,0.0,
354,tiznit,29.58,-9.5,77.25200000000008,35.0,0.0,0.5,MA
355,baruun-urt,46.68,113.28,84.18200000000002,36.0,97.0,3.45,MN
356,lavrentiya,65.58,-171.0,55.47200000000004,61.0,100.0,3.75,RU
357,kruisfontein,-34.0,24.73,61.80800000000001,28.0,0.0,4.19,ZA
358,haines junction,60.75,-137.51,62.33000000000004,66.0,62.0,0.6,CA
359,doctor pedro p. pena,0.0,0.0,0.0,0.0,0.0,0.0,
360,khanpur,28.65,70.66,92.066,55.0,0.0,5.89,PK
361,puerto escondido,15.85,-97.07,81.266,76.0,87.0,1.78,MX
362,saint george,37.1,-113.58,91.4,24.0,20.0,9.3,US
363,udgir,18.38,77.12,72.55400000000006,89.0,100.0,3.12,IN
364,liku,-0.73,119.89,83.44400000000007,67.0,51.0,0.54,ID
365,hasaki,35.73,140.83,80.99600000000005,83.0,75.0,1.5,JP
366,port blair,11.67,92.75,78.8,88.0,75.0,1.33,IN
367,pandan,14.05,124.17,87.24199999999999,65.0,69.0,1.96,PH
368,sulya,12.57,75.38,75.2,100.0,90.0,3.1,IN
369,qaanaaq,77.48,-69.36,46.63399999999999,55.0,0.0,1.45,GL
370,aranos,-24.13,19.12,46.70600000000003,52.0,0.0,4.29,NA
371,shache,38.42,77.24,82.45400000000005,17.0,0.0,4.24,CN
372,korla,41.76,86.15,71.99600000000005,82.0,0.0,3.53,CN
